,N fit,Mse,Accuracy %,Mape,Rmse
0,0.0,0.0029,15.23,518281.44,0.047
1,1.0,0.0027,15.78,527905.38,0.047
2,2.0,0.0042,13.21,565173.56,0.059
3,3.0,0.0039,16.42,578798.19,0.058
4,4.0,0.0046,13.21,580486.38,0.058
5,5.0,0.0049,9.36,558683.62,0.064
6,6.0,0.058,7.89,572627.44,0.239
7,7.0,0.0607,14.5,567585.12,0.242
8,8.0,0.0031,6.24,521181.28,0.052
9,9.0,0.0025,18.26,499034.47,0.045
10,10.0,0.0593,14.68,566274.12,0.242
11,11.0,0.1113,7.8,510878.19,0.333
12,12.0,0.003,17.61,525191.06,0.048
13,13.0,0.0026,16.15,528522.19,0.047
14,14.0,0.056,14.59,498501.88,0.236
15,15.0,0.0583,6.42,514045.31,0.24
16,16.0,0.056,15.32,519966.25,0.236
17,17.0,0.0579,12.2,502396.41,0.24
18,18.0,0.1677,4.95,508781.09,0.409
19,19.0,0.0029,17.34,514183.19,0.049
20,20.0,0.0578,11.1,526467.94,0.239
21,21.0,0.0028,12.02,539424.69,0.048
22,22.0,0.1144,10.0,573199.44,0.337
23,23.0,0.0027,18.72,499902.53,0.045
24,24.0,0.0026,16.42,520665.69,0.046
25,25.0,0.0026,16.06,538833.69,0.046
26,26.0,0.0049,13.58,573460.31,0.058
27,27.0,0.0579,15.23,505651.19,0.239
28,28.0,0.0031,17.43,503726.09,0.051
29,29.0,0.0025,19.36,517208.5,0.044
