,N fit,Mse,Accuracy %,Mape,Rmse
0,0.0,0.0577,15.23,510472.5,0.239
1,1.0,0.0036,20.37,578557.0,0.057
2,2.0,0.0033,14.31,507513.75,0.05
3,3.0,0.003,13.94,514277.06,0.05
4,4.0,0.0031,16.61,525771.38,0.047
5,5.0,0.1529,15.41,41.74,0.391
6,6.0,0.0028,14.86,533476.12,0.046
7,7.0,0.003,16.7,517930.88,0.047
8,8.0,0.0044,17.16,569142.75,0.06
9,9.0,0.0592,8.62,520837.47,0.242
10,10.0,0.0995,3.12,25.55,0.315
11,11.0,0.0027,21.38,516858.09,0.045
12,12.0,0.0984,22.02,22.18,0.313
13,13.0,0.0035,3.39,555124.56,0.056
14,14.0,0.0595,11.1,550991.38,0.241
15,15.0,0.0029,15.05,514634.78,0.048
16,16.0,0.0026,19.17,501094.88,0.045
17,17.0,0.0028,17.71,520049.25,0.047
18,18.0,0.0039,21.01,570903.81,0.055
19,19.0,0.0044,20.83,576320.25,0.056
20,20.0,0.0584,11.83,561601.0,0.24
21,21.0,0.0581,11.56,532324.0,0.24
22,22.0,0.0043,17.34,582261.69,0.056
23,23.0,0.0034,18.35,518816.28,0.046
24,24.0,0.0984,20.09,22.26,0.313
25,25.0,0.0027,15.87,514797.44,0.047
26,26.0,0.003,5.5,544536.44,0.05
27,27.0,0.0028,17.52,515401.44,0.048
28,28.0,0.0029,18.44,524317.25,0.044
29,29.0,0.0987,12.39,23.34,0.314
