,N fit,Mse,Accuracy %,Mape,Rmse
0,0.0,0.0037,22.47,3.99,0.053
1,1.0,0.0039,20.73,4.11,0.052
2,2.0,0.004,6.58,5.46,0.058
3,3.0,0.0034,23.38,4.0,0.052
4,4.0,0.0035,20.73,4.15,0.053
5,5.0,0.0036,11.51,4.65,0.054
6,6.0,0.0064,1.0,8.65,0.076
7,7.0,0.0035,20.64,4.16,0.053
8,8.0,0.0035,23.29,3.96,0.052
9,9.0,0.0038,5.48,5.26,0.057
10,10.0,0.0036,21.74,4.09,0.053
11,11.0,0.0033,23.93,3.91,0.052
12,12.0,0.0035,17.53,4.34,0.054
13,13.0,0.0035,23.2,4.02,0.052
14,14.0,0.0038,21.55,4.06,0.053
15,15.0,0.0039,5.21,5.28,0.057
16,16.0,0.0037,8.58,5.02,0.056
17,17.0,0.0036,24.29,3.94,0.052
18,18.0,0.0048,0.91,6.79,0.065
19,19.0,0.0036,24.02,4.02,0.052
20,20.0,0.0042,3.11,5.89,0.06
21,21.0,0.0035,23.38,3.92,0.052
22,22.0,0.0035,22.56,4.07,0.053
23,23.0,0.0037,7.03,4.9,0.056
24,24.0,0.0039,15.25,4.55,0.055
25,25.0,0.0038,23.29,4.02,0.052
26,26.0,0.0036,13.61,4.47,0.054
27,27.0,0.0035,21.92,4.11,0.053
28,28.0,0.0036,21.28,4.08,0.053
29,29.0,0.0035,14.7,4.38,0.053
