,N fit,Mse,Accuracy %,Mape,Rmse
0,0.0,0.0041,7.71,595546.69,0.057
1,1.0,0.0038,21.19,589728.62,0.054
2,2.0,0.0037,16.88,591901.31,0.055
3,3.0,0.0049,4.5,586200.56,0.064
4,4.0,0.0037,19.72,588838.38,0.054
5,5.0,0.004,14.04,585993.56,0.056
6,6.0,0.0041,19.17,587824.75,0.055
7,7.0,0.0039,18.26,583973.94,0.055
8,8.0,0.0045,13.39,572822.44,0.058
9,9.0,0.0042,9.08,588994.56,0.058
10,10.0,0.0044,5.23,600246.94,0.06
11,11.0,0.0038,15.14,585984.5,0.055
12,12.0,0.0037,20.73,591921.94,0.054
13,13.0,0.004,19.82,588494.62,0.054
14,14.0,0.0038,17.25,590987.12,0.054
15,15.0,0.0044,13.94,580257.69,0.057
16,16.0,0.004,18.62,579114.06,0.056
17,17.0,0.0044,15.23,575376.5,0.058
18,18.0,0.004,18.26,582021.19,0.055
19,19.0,0.0037,20.46,594865.12,0.054
20,20.0,0.0046,16.06,581337.12,0.057
21,21.0,0.0038,20.55,583484.94,0.055
22,22.0,0.0037,18.9,595987.12,0.055
23,23.0,0.0041,16.24,578916.88,0.057
24,24.0,0.0041,15.41,588067.25,0.056
25,25.0,0.0037,17.8,586622.88,0.055
26,26.0,0.004,20.73,582692.38,0.055
27,27.0,0.004,20.09,581735.5,0.055
28,28.0,0.0039,13.85,591855.0,0.056
29,29.0,0.0043,8.44,588437.19,0.06
